,1,0.5,0.2
711,4-5,4.5-4.9,4.6-4.7
712,4-5,4.5-4.9,4.6-4.7
713,3-4,3.0-3.4,3.2-3.3
714,4-5,4.0-4.4,4.2-4.3
715,4-5,4.0-4.4,4.4-4.5
716,4-5,4.5-4.9,4.4-4.5
717,3-4,3.0-3.4,3.0-3.1
718,3-4,3.0-3.4,3.2-3.3
719,3-4,3.5-3.9,3.8-3.9
720,4-5,4.0-4.4,4.0-4.1
721,4-5,4.5-4.9,4.4-4.5
722,4-5,4.0-4.4,4.4-4.5
723,4-5,4.0-4.4,4.4-4.5
724,4-5,4.5-4.9,4.4-4.5
725,4-5,4.0-4.4,4.2-4.3
726,3-4,3.0-3.4,3.2-3.3
727,3-4,3.5-3.9,3.6-3.7
728,4-5,4.0-4.4,4.4-4.5
729,4-5,4.0-4.4,4.4-4.5
730,2-3,2.5-2.9,2.6-2.7
731,4-5,4.0-4.4,4.0-4.1
732,4-5,4.0-4.4,4.0-4.1
733,3-4,3.5-3.9,3.6-3.7
734,2-3,2.5-2.9,2.6-2.7
735,4-5,4.5-4.9,4.4-4.5
736,3-4,3.5-3.9,3.8-3.9
737,3-4,3.5-3.9,3.6-3.7
